"time","acc_x"
0.468,-6.481493057264309e-7
0.469,-6.446938240478595e-7
0.47,-6.403014433664644e-7
0.471,-6.348747899065366e-7
0.472,-6.305292060138079e-7
0.473,-6.273369337894685e-7
0.474,-6.259071407277439e-7
0.475,-6.271414064173975e-7
0.476,-6.266807539567765e-7
0.477,-6.255131986820928e-7
0.478,-6.234016040607138e-7
0.479,-6.196359635946003e-7
0.48,-6.166708541033294e-7
0.481,-6.135809778040624e-7
0.482,-6.102040590594271e-7
0.483,-6.065894987972165e-7
0.484,-6.033224063672904e-7
0.485,-6.006125509716576e-7
0.486,-5.988648032473343e-7
0.487,-5.986188987283647e-7
0.488,-5.976379752192784e-7
0.489,-5.962200705922349e-7
0.49,-5.938220118406612e-7
0.491,-5.895294673541329e-7
0.492,-5.861742107260426e-7
0.493,-5.828167088939296e-7
0.494,-5.795884577830535e-7
0.495,-5.769099662433774e-7
0.496,-5.74972914280103e-7
0.497,-5.745094829867625e-7
0.498,-5.763096349031827e-7
0.499,-5.813295639311988e-7
0.5,-5.842587033066948e-7
0.501,-5.857536956588305e-7
0.502,-5.84241753198711e-7
0.503,-5.774282963999511e-7
0.504,-5.707806760568701e-7
0.505,-5.614995174374471e-7
0.506,-5.493644364973349e-7
0.507,-5.345626784558632e-7
0.508,-5.235226603339527e-7
0.509,-5.174666846130549e-7
0.51,-5.203968315159457e-7
0.511,-5.374938185642719e-7
0.512,-5.522879481523191e-7
0.513,-5.709488352101388e-7
0.514,-5.913503853260949e-7
0.515,-6.098950503519163e-7
0.516,-6.205827800531694e-7
0.517,-6.168386527116709e-7
0.518,-5.899584745172604e-7
0.519,-5.292755899111157e-7
0.52,-4.944260773021014e-7
0.521,-4.634809652737104e-7
0.522,-4.4368076457246275e-7
0.523,-4.437264610190894e-7
0.524,-4.737062673232373e-7
0.525,-5.450848161725474e-7
0.526,-6.706953108448488e-7
0.527,-7.343551831073825e-7
0.528,-7.665034610360166e-7
0.529,-7.824374236298226e-7
0.53,-7.738146939884061e-7
0.531,-7.311836753842726e-7
0.532,-6.43983355308464e-7
0.533,-5.44996291096389e-7
0.534,-5.077098641503852e-7
0.535,-4.685388201863816e-7
0.536,-4.280927028421644e-7
0.537,-3.86981620748017e-7
0.538,-3.4581574437364537e-7
0.539,-3.052061726682709e-7
0.54,-2.8863758361197256e-7
0.541,-2.875078832786926e-7
0.542,-3.013556569841924e-7
0.543,-3.322236585834304e-7
0.544,-3.821399918724211e-7
0.545,-4.531183653844195e-7
0.546,-5.087359647992784e-7
0.547,-5.042695579993151e-7
0.548,-4.78849031426698e-7
0.549,-4.2833686220156153e-7
0.55,-3.4858082353927955e-7
0.551,-2.354133133986025e-7
0.552,-8.465201384311172e-8
0.553,-1.0396811511714787e-7
0.554,-1.8408316393436763e-7
0.555,-3.2417807793727604e-7
0.556,-5.332026168369808e-7
0.557,-8.201084673586934e-7
0.558,-1.1938502716413169e-6
0.559,-1.4907440265554683e-6
0.56,-1.581874970346675e-6
0.561,-1.6015082806575265e-6
0.562,-1.535065450530837e-6
0.563,-1.3679251086307076e-6
0.564,-1.0854219731903925e-6
0.565,-9.503735063365326e-7
0.566,-9.851517406289645e-7
0.567,-1.0933838423543563e-6
0.568,-1.2909112859782468e-6
0.569,-1.5936126381843607e-6
0.57,-2.0174024806252078e-6
0.571,-1.973637096863712e-6
0.572,-1.6439000641854662e-6
0.573,-1.0823436351614646e-6
0.574,-2.5199117847929386e-7
0.575,8.842421680421708e-7
0.576,2.335610082115913e-6
0.577,2.236978388303612e-6
0.578,1.6285591979414704e-6
0.579,4.108100012389926e-7
0.58,-1.5160242856637751e-6
0.581,-4.2519108361949165e-6
0.582,-7.126021432490859e-6
0.583,-6.649903253164169e-6
0.584,-4.975264503270793e-6
0.585,-1.8710188876003286e-6
0.586,2.8943604043485394e-6
0.587,9.552838611703862e-6
0.588,1.4906535987346814e-5
0.589,1.456390485665704e-5
0.59,1.3133212420246565e-5
0.591,1.0612143633625948e-5
0.592,6.998396956392483e-6
0.593,2.2896831136653972e-6
0.594,-7.686585483668296e-7
0.595,-1.5400977234625302e-6
0.596,-1.8621218389469618e-6
0.597,-1.7351613782468078e-6
0.598,-1.1596469261521136e-6
0.599,-7.237075404509241e-7
0.6,-6.020430556308298e-7
0.601,-4.134058650961947e-7
0.602,-1.5858205715257867e-7
0.603,1.6164450766797955e-7
